ID Cliente;Nombre;Apellido;G‚nero;Edad;Ciudad ;Empresa;Email;Tel‚fono;Fecha de Registro
C001;Mateo;S nchez;M;32;Quito;TecnoPlus S.A.;a.molina@tecnoplus.com;+52 55 8123 4401;3/1/2025
C002;Valentina;Ortiz;F;28;Guayaquil;Global Market Corp;b.herrera@gmcorp.com;+52 81 9022 1154;4/1/2025
C003;Sebasti n;Herrera;M;41;Cuenca;Innovatech Solutions;r.fuentes@innovatech.com;+52 33 6710 4421;6/1/2025
C004;Camila;Molina;F;35;Manta;HealthCare MX;j.torres@hc-mx.com;+52 55 7122 9844;8/1/2025
C005;Nicol s;Zambrano;M;29;Ambato;AgroIndustrial del Valle;s.lopez@agrovalle.mx;+52 444 129 7733;10/1/2025
C006;Isabella;Vargas;F;33;Loja;RedCom Networks;n.ramirez@redcomnet.com;+52 55 4433 9910;12/1/2025
C007;Daniel;Villalba;M;26;Riobamba;ConstruMax;j.martinez@construmax.com;+52 81 6655 2201;13/1/2025
C008;Sof¡a;Castillo;F;45;Machala;EcoGreen Solutions;d.sandoval@ecogreen.com;+52 33 9988 1102;14/1/2025
C009;Andr‚s;Torres;M;38;Santo Domingo;FinanPlus;o.rios@finanplus.com;+52 55 7711 3009;16/1/2025
C010;Luciana;Espinoza;F;31;Portoviejo;Log¡stica Total;l.jimenez@logtotal.mx;+52 722 550 4438;17/1/2025
